t,value
0.0,-1.0032198450577285
0.01,-0.9778660109984668
0.02,-0.9073871289784836
0.03,-0.739101557730609
0.04,-0.7098564707317424
0.05,-0.5630186580926462
0.06,-0.5408045706181713
0.07,-0.46625768530060063
0.08,-0.31580018788543257
0.09,-0.24074919250366017
0.1,-0.16584141199586644
0.11,-0.15190524318418158
0.12,-0.03588388033957009
0.13,0.07047412233876253
0.14,0.14561244073953816
0.15,0.2001103922464154
0.16,0.34571145881778065
0.17,0.37507463329990787
0.18,0.43589631392146316
0.19,0.5263510653142736
0.2,0.6006469576098098
0.21,0.7315292366583872
0.22,0.7490251575412071
0.23,0.8761246881636181
0.24,0.9162930800673129
0.25,-0.9773248627117436
0.26,-0.9130331868281087
0.27,-0.8330540642290225
0.28,-0.733874306703814
0.29,-0.6460289992461806
0.3,-0.5886959742112421
0.31,-0.5133882375126338
0.32,-0.4291535994622328
0.33,-0.36190551193272413
0.34,-0.2873840197225705
0.35000000000000003,-0.26961022895888453
0.36,-0.12306068853144995
0.37,-0.05247414381521823
0.38,0.03958676643011632
0.39,0.09391259689829076
0.4,0.16674652898209597
0.41000000000000003,0.29309495737623015
0.42,0.36044428033434284
0.43,0.41451378639973097
0.44,0.5358377238143875
0.45,0.5800800864277409
0.46,0.6825420443321549
0.47000000000000003,0.7678839577796455
0.48,0.8702336667513932
0.49,0.88681024046625
0.5,-0.9838160293175645
0.51,-0.9381046049311772
0.52,-0.8926339684917893
0.53,-0.7719217728581742
0.54,-0.6255135500693932
0.55,-0.6380503044907461
0.56,-0.5211739016360303
0.5700000000000001,-0.4461171630082888
0.58,-0.39989881750380035
0.59,-0.28640953626784116
0.6,-0.18697037764502572
0.61,-0.1584324618701802
0.62,-0.02023236130642325
0.63,0.013563348370963964
0.64,0.16529105565395066
0.65,0.1967866320917081
0.66,0.3326854975044484
0.67,0.3355693890177061
0.68,0.42098253649530615
0.6900000000000001,0.556931075108577
0.7000000000000001,0.5525077682154158
0.71,0.6978495298670531
0.72,0.7430110829648005
0.73,0.8362207669551203
0.74,0.9062211617169572
0.75,-1.0432823646705491
0.76,-0.9047069484257036
0.77,-0.8207383710145034
0.78,-0.7864935432914202
0.79,-0.6771735875835602
0.8,-0.5890547469537768
0.81,-0.548513152480179
0.8200000000000001,-0.4557857341221159
0.8300000000000001,-0.3581857904478702
0.84,-0.314621233975302
0.85,-0.15967513962151358
0.86,-0.10744684022178058
0.87,-0.043359928410707356
0.88,0.040812175968836135
0.89,0.07840280530088897
0.9,0.2199805612218499
0.91,0.2521051609347109
0.92,0.2733022525797778
0.93,0.4922021337525489
0.9400000000000001,0.5406149006131261
0.9500000000000001,0.598528763035535
0.96,0.7256488248269475
0.97,0.7225717026796786
0.98,0.8227830996177228
0.99,0.9496390260437984
1.0,-1.036383562562081
1.01,-0.8902358496467137
1.02,-0.8326911321351192
1.03,-0.7510138822571458
1.04,-0.7142647959075779
1.05,-0.6343712374116734
1.06,-0.5674931052723241
1.07,-0.4404099496966508
1.08,-0.3634323898490215
1.09,-0.3175706331425549
1.1,-0.2350281293584751
1.11,-0.1333262011632594
1.12,-0.046519262801770545
1.1300000000000001,0.016663911643710214
1.1400000000000001,0.08107323559527777
1.1500000000000001,0.15484490204096074
1.16,0.31864029596843135
1.17,0.3778600102299541
1.18,0.4009239196886766
1.19,0.4953322143612834
1.2,0.6096633020469614
1.21,0.6701531360273578
1.22,0.7415778421878015
1.23,0.8191608559840823
1.24,0.9455979286588219
1.25,-0.9879059222138844
1.26,-0.8979920366730674
1.27,-0.8288082096342907
1.28,-0.7381353880291366
1.29,-0.7417901340630125
1.3,-0.5371503800887051
1.31,-0.519091579103177
1.32,-0.4210549521401978
1.33,-0.3518161667467527
1.34,-0.2473036625234866
1.35,-0.191075145050664
1.36,-0.09791827763187945
1.37,-0.022209266422587148
